score	negative_comment	city_name	date	positive_comment	target	overall_comment
8.8		t-ai-pei	2019年3月24日		硕美精品旅店	房间整洁干净、服务人员态度很好👍、
7.9		t-ai-pei	2018年10月16日		硕美精品旅店	酒店住宿双人间空间比较小，衣服洗了没地方晾衣服主要是😂
10		t-ai-pei	2019年1月4日		硕美精品旅店	位置不错，房间也挺好的，推荐
8.3		t-ai-pei	2018年6月19日		硕美精品旅店	在客運1819國賓飯店下車站附近,方便深夜入住
8.3		t-ai-pei	2019年5月27日		太平洋商旅	房间就能看见101，9地址特别棒，购物 坐车地铁吃饭都方便
5.8		t-ai-pei	2019年5月30日		台北日记旅店 - 万国馆	近捷運站，交通方便。
6.3		t-ai-pei	2018年5月21日		硕美精品旅店	地点
7.9		t-ai-pei	2018年2月20日		硕美精品旅店	都还可以。
8.8		t-ai-pei	2019年5月6日		太平洋商旅	地点好，走到101需20分钟，服务态度好，友善热情
8.8		t-ai-pei	2019年3月19日		太平洋商旅	Very good
9.6		t-ai-pei	2019年3月4日		太平洋商旅	自助早餐， 虽然选项不多，但品种涵盖全面，能满足中西用餐需求...
8.8		t-ai-pei	2019年5月8日		台北日记旅店 - 万国馆	地理位置好，地处西门町，繁华，购物方便，交通方便
9.6		t-ai-pei	2019年5月6日		台北日记旅店 - 万国馆	地点超方便，离捷运站很近。
10		t-ai-pei	2019年4月29日		台北日记旅店 - 万国馆	服务态度超级好…笑容100分
9.2		t-ai-pei	2018年1月23日		硕美精品旅店	离双连站很近周边很方便，工作人员很热情
9.5		t-ai-pei	2019年5月23日		Home Hotel 	床大且舒服，服务也非常好，地理位置得天独厚，逛街感受特别棒
8.3		t-ai-pei	2018年4月20日		台北有园饭店	饭店地理位置佳、房间大床铺舒适
7.9		t-ai-pei	2019年2月19日		太平洋商旅	员工服务非常好
10		t-ai-pei	2019年1月21日		太平洋商旅	值得体验，非常推荐！
7.5		t-ai-pei	2018年12月25日		太平洋商旅	前台的服务员都很好很热心，地理位置不错
4.6		t-ai-pei	2017年12月14日		佳朋乐居时尚旅店	住宿環境維護不佳，照片看起來像三星，實際屋況二星，住宿房間就像公寓的某間房，夾雜一般住戶、月租客等管理混亂，號稱禁菸，但一出電梯整個公共空間瀰漫著煙味，看到有房門外大辣辣放著菸灰缸與菸屁股，公共空間如
9.2		t-ai-pei	2019年5月22日		NEOSOHO 个人舱 台北车站馆	还行吧
5.4		t-ai-pei	2018年2月21日		美芙精品旅馆	早餐好吃，房間插座極少...
7.1		t-ai-pei	2018年12月2日		凯丽旅馆	我們還在房門外檢查東西之後準備退房...
8.3		t-ai-pei	2019年4月19日		台北日记旅店 - 万国馆	位置特别的好
8.3		t-ai-pei	2019年4月19日		台北日记旅店 - 万国馆	位置特别的好
8.8		t-ai-pei	2019年4月10日		台北日记旅店 - 万国馆	位置好，在西门町商圈。
9.2		t-ai-pei	2019年5月9日		享趣商旅三重馆	服务态度特别好！
7.9		t-ai-pei	2019年5月28日		大师商旅	地理位置方便，到台北车站5分钟，住宿在京站楼上，可购物...
7.5		t-ai-pei	2018年5月22日		美丽殿商旅	隔音很不好,電視節目太少,改善後就值得推薦
8.3		t-ai-pei	2019年2月13日		Home Hotel 	地点特别好，离101和各大商场都很近
6.7		t-ai-pei	2019年2月10日		Home Hotel 	地理位置很好，尤其如果你喜欢逛商场。
7.9		t-ai-pei	2019年2月10日		Home Hotel 	地点好服务好
9.2		t-ai-pei	2018年3月29日		台北有园饭店	床頭櫃JBL藍牙音箱特別棒
8.3		t-ai-pei	2017年10月25日		台北有园饭店	洗漱用品是我喜欢的香薰牌子
9.6		t-ai-pei	2017年8月9日		台北有园饭店	浴缸洗澡很舒服，还有丝瓜刷，马桶是智能的，整体很干净
9.2		t-ai-pei	2019年5月30日		晶玺商旅-世貿	地理位置好
7.1		t-ai-pei	2018年12月23日		太平洋商旅	一般吧，除了交通，没有特别亮点
7.1		t-ai-pei	2018年10月8日		太平洋商旅	很商务的酒店，但是离101很近，房间很精致...
6.3		t-ai-pei	2018年1月5日		佳朋乐居时尚旅店	离捷运站略远。
7.9		t-ai-pei	2017年11月1日		佳朋乐居时尚旅店	台湾同胞的服务就是好
8.8		t-ai-pei	2019年5月20日		NEOSOHO 个人舱 台北车站馆	每次都會優先考慮入住
8.8		t-ai-pei	2019年5月15日		NEOSOHO 个人舱 台北车站馆	地理位置绝赞，工作人员很亲切
